,Date,Close,name
0,2015-01-01,49.080002,American Airlines
1,2015-02-01,47.900002,American Airlines
2,2015-03-01,52.779999,American Airlines
3,2015-04-01,48.290001000000004,American Airlines
4,2015-05-01,42.369999,American Airlines
5,2015-06-01,39.939999,American Airlines
6,2015-07-01,40.099998,American Airlines
7,2015-08-01,38.98,American Airlines
8,2015-09-01,38.830002,American Airlines
9,2015-10-01,46.220001,American Airlines
10,2015-11-01,41.259997999999996,American Airlines
11,2015-12-01,42.349998,American Airlines
12,2016-01-01,38.990002000000004,American Airlines
13,2016-02-01,41.0,American Airlines
14,2016-03-01,41.009997999999996,American Airlines
15,2016-04-01,34.689999,American Airlines
16,2016-05-01,31.91,American Airlines
17,2016-06-01,28.309998999999998,American Airlines
18,2016-07-01,35.5,American Airlines
19,2016-08-01,36.299999,American Airlines
20,2016-09-01,36.610001000000004,American Airlines
21,2016-10-01,40.599998,American Airlines
22,2016-11-01,46.439999,American Airlines
23,2016-12-01,46.689999,American Airlines
24,2017-01-01,44.25,American Airlines
25,2017-02-01,46.360001000000004,American Airlines
26,2017-03-01,42.299999,American Airlines
27,2017-04-01,42.619999,American Airlines
28,2017-05-01,48.41,American Airlines
29,2017-06-01,50.32,American Airlines
30,2017-07-01,50.439999,American Airlines
31,2017-08-01,44.740002000000004,American Airlines
32,2017-09-01,47.490002000000004,American Airlines
33,2017-10-01,46.82,American Airlines
34,2017-11-01,50.490002000000004,American Airlines
35,2017-12-01,52.029999,American Airlines
36,2018-01-01,54.32,American Airlines
37,2018-02-01,54.25,American Airlines
38,2018-03-01,51.959998999999996,American Airlines
39,2018-04-01,42.93,American Airlines
40,2018-05-01,43.540001000000004,American Airlines
41,2018-06-01,37.959998999999996,American Airlines
42,2018-07-01,39.540001000000004,American Airlines
43,2018-08-01,40.48,American Airlines
44,2018-09-01,41.330002,American Airlines
45,2018-10-01,35.080002,American Airlines
46,2018-11-01,40.16,American Airlines
47,2018-12-01,32.110001000000004,American Airlines
48,2019-01-01,35.77,American Airlines
49,2019-02-01,35.630001,American Airlines
50,2019-03-01,31.76,American Airlines
51,2019-04-01,34.18,American Airlines
52,2019-05-01,27.23,American Airlines
53,2019-06-01,32.610001000000004,American Airlines
54,2019-07-01,30.51,American Airlines
55,2019-08-01,26.309998999999998,American Airlines
56,2019-09-01,26.969998999999998,American Airlines
57,2019-10-01,30.059998999999998,American Airlines
58,2019-11-01,28.74,American Airlines
59,2019-12-01,28.68,American Airlines
60,2020-01-01,26.84,American Airlines
61,2020-02-01,19.049999,American Airlines
62,2020-03-01,12.19,American Airlines
63,2020-04-01,12.01,American Airlines
64,2020-05-01,10.5,American Airlines
65,2020-06-01,13.07,American Airlines
66,2020-07-01,11.12,American Airlines
67,2020-08-01,13.05,American Airlines
68,2020-09-01,12.29,American Airlines
69,2020-10-01,11.28,American Airlines
70,2020-11-01,14.13,American Airlines
71,2020-12-01,15.77,American Airlines
